province,date,avg_pet,avg_precipitation,water_balance,spei
Badajoz,2015-07-01,2328.208029649048,1.5165718738767566,-2326.6914577751713,-0.9281296666382174
Badajoz,2015-08-01,2013.101666399857,3.2211566633340665,-2009.880509736523,0.4117398244650119
Badajoz,2015-09-01,1341.1966001455853,10.601235981188426,-1330.5953641643969,0.08873329580187055
Badajoz,2015-10-01,789.9217030685065,110.52104520755232,-679.4006578609542,0.9430835835758468
Badajoz,2015-11-01,475.9504761789696,37.99252128684608,-437.95795489212355,-0.8027784128341848
Badajoz,2015-12-01,292.5540077263923,26.678052876555924,-265.8759548498364,-0.27442962820039224
Badajoz,2016-01-01,385.490369193501,75.91184119514418,-309.57852799835683,-0.17935520058586002
Badajoz,2016-02-01,526.9531070186935,50.389466975561255,-476.5636400431322,-0.6745019052923693
Badajoz,2016-03-01,789.2487397039313,41.05631688479575,-748.1924228191356,0.208594161503842
Badajoz,2016-04-01,1015.0103119251644,99.4755990370703,-915.5347128880941,0.659140948176819
Badajoz,2016-05-01,1420.4368613568604,96.3629743289244,-1324.073887027936,1.2703505229256236
Badajoz,2016-06-01,2034.795625134032,1.586879630776293,-2033.2087455032556,-0.5067779699027027
Badajoz,2016-07-01,2229.828146662517,6.372857345660921,-2223.455289316856,0.8045864435512615
Badajoz,2016-08-01,2072.71254073875,0.878486013658619,-2071.8340547250914,-0.5104831337999379
Badajoz,2016-09-01,1503.2520501520794,9.701531082268865,-1493.5505190698104,-1.7473063043984403
Badajoz,2016-10-01,886.8467226261271,82.05213653786312,-804.7945860882639,-0.27773033661655266
Badajoz,2016-11-01,477.810325819381,116.0295040670788,-361.7808217523022,0.42282959199382053
Badajoz,2016-12-01,315.00556674811867,62.66401065626005,-252.34155609185862,0.0018892102493753193
Badajoz,2017-01-01,367.8593935476462,26.06080532088087,-341.79858822676533,-0.9527998387970288
Badajoz,2017-02-01,492.0147882793223,90.4942746765818,-401.5205136027405,0.44321816214868653
Badajoz,2017-03-01,883.9188124673411,59.58398298864596,-824.3348294786952,-0.5611616366737621
Badajoz,2017-04-01,1199.337128065412,47.27376741685365,-1152.0633606485583,0.41346574856072205
Badajoz,2017-05-01,1640.5262192930245,30.443675563999463,-1610.082543729025,-0.4727367282960361
Badajoz,2017-06-01,2061.0955408625878,5.741603815472713,-2055.353937047115,-0.7357623226730708
Badajoz,2017-07-01,2294.327837063124,8.412486068027285,-2285.915350995097,-0.2556127156112523
Badajoz,2017-08-01,2071.0969846529288,8.401104892274509,-2062.6958797606544,-0.3767145320177471
Badajoz,2017-09-01,1485.0686525328235,0.1297327175577591,-1484.9389198152658,-1.661077748409496
Badajoz,2017-10-01,971.8711794679712,27.29075762747184,-944.5804218404993,-1.5236221958654612
Badajoz,2017-11-01,531.2575293062246,50.18951107459677,-481.0680182316278,-1.4657027178908777
Badajoz,2017-12-01,364.7922270919101,40.96865947993341,-323.82356761197667,-1.8223930599671692
Badajoz,2018-01-01,387.8948238001889,62.25923587849199,-325.63558792169687,-0.5758371794267334
Badajoz,2018-02-01,498.1505498787273,62.77069407653286,-435.37985580219447,-0.036139830654512074
Badajoz,2018-03-01,737.7115651230988,189.2087243598842,-548.5028407632146,1.4784937507899913
Badajoz,2018-04-01,1091.4344661147231,89.14465993904662,-1002.2898061756765,0.5827238500719409
Badajoz,2018-05-01,1432.320941302974,38.70905510265105,-1393.611886200323,0.9064770025479668
Badajoz,2018-06-01,1787.7450078985587,17.956562449973248,-1769.7884454485854,1.603112987320923
Badajoz,2018-07-01,2147.004654562585,2.004485415603205,-2145.000169146982,1.8892226379837573
Badajoz,2018-08-01,2018.282393913124,2.707085748460308,-2015.5753081646637,0.3276956580265454
Badajoz,2018-09-01,1447.3846855527315,19.34102448704665,-1428.0436610656848,-1.054054910233583
Badajoz,2018-10-01,970.0115986504484,99.940191438142,-870.0714072123064,-0.9013014121331484
Badajoz,2018-11-01,476.5410438181302,107.65093196968638,-368.89011184844384,0.3141138600897353
Badajoz,2018-12-01,350.9412093405379,16.28478311429804,-334.6564262262399,-2.203753137152516
Badajoz,2019-01-01,390.2787421505224,22.099256055311045,-368.17948609521136,-1.5038281918991157
Badajoz,2019-02-01,500.7011505015504,11.684057594548625,-489.01709290700177,-0.872013959941543
Badajoz,2019-03-01,960.8818629124078,14.953137223512629,-945.9287256888952,-2.0753645459644847
Badajoz,2019-04-01,1094.1734692952905,57.64827394562524,-1036.5251953496652,0.5488682152891118
Badajoz,2019-05-01,1845.945244704339,4.018246731083474,-1841.9269979732555,-1.8970645485671787
Badajoz,2019-06-01,2192.6214309230854,0.4674497769374122,-2192.153981146148,-2.0997413166177723
Badajoz,2019-07-01,2323.3786959371487,0.9723052015718584,-2322.4063907355767,-0.8610318941717754
Badajoz,2019-08-01,2142.369912375818,1.9085700132599144,-2140.461342362558,-1.419120870396713
Badajoz,2019-09-01,1475.17166002664,12.49750357171983,-1462.6741564549202,-1.4313344185847514
Badajoz,2019-10-01,1024.4380725700978,23.4984640849601,-1000.9396084851377,-1.929010589529267
Badajoz,2019-11-01,523.2822217456563,61.993690213336585,-461.2885315323197,-1.169487390684277
Badajoz,2019-12-01,306.6780196512548,131.49045074651204,-175.18756890474273,1.0935402583423246
Badajoz,2020-01-01,360.2416053257136,51.7974525255759,-308.44415280013766,-0.15085607729944503
Badajoz,2020-02-01,528.5199971003369,3.248259447312222,-525.2717376530247,-1.4414229253492175
Badajoz,2020-03-01,820.9638448318037,87.62492260015162,-733.3389222316521,0.338369371416759
Badajoz,2020-04-01,957.0937044096004,97.33570843892424,-859.7579959706761,0.7024687552262733
Badajoz,2020-05-01,1602.235573423383,40.117928674340654,-1562.1176447490423,-0.14885449843082726
Badajoz,2020-06-01,1903.7379339299769,3.233999752320482,-1900.5039341776564,0.7390805074307765
Badajoz,2020-07-01,2333.0270091490383,3.7666798561042407,-2329.2603292929343,-0.967878129429029
Badajoz,2020-08-01,2099.2804517432705,3.401310285042874,-2095.879141458228,-0.8501135513563572
Badajoz,2020-09-01,1424.669263274262,22.64174064330222,-1402.0275226309598,-0.7559968816079248
Badajoz,2020-10-01,860.8562764103384,79.13651369939558,-781.7197627109429,-0.046853224108073105
Badajoz,2020-11-01,504.6924877594964,115.17523929767742,-389.51724846181895,-0.01260750639015367
Badajoz,2020-12-01,357.0732346038485,59.81082117841071,-297.2624134254378,-1.0338931013384836
Badajoz,2021-01-01,352.7411718865626,62.591280472886645,-290.14989141367596,0.3089703591312182
Badajoz,2021-02-01,463.0142506335458,94.67802871270077,-368.33622192084505,0.8542264939366726
Badajoz,2021-03-01,877.4883726549725,17.585342205495447,-859.9030304494771,-0.9724945033364321
Badajoz,2021-04-01,1048.058524857055,58.30078260685707,-989.757742250198,0.5945462653927359
Badajoz,2021-05-01,1602.4504051976437,13.96831816548011,-1588.4820870321637,-0.3269152518883712
Badajoz,2021-06-01,1890.6364547999967,19.6441751517037,-1870.992279648293,0.965531385785855
Badajoz,2021-07-01,2277.850084422469,0.0386289428615441,-2277.8114554796075,-0.1155747565673104
Badajoz,2021-08-01,2056.166434592972,2.9394876658622087,-2053.22694692711,-0.23618559807962627
Badajoz,2021-09-01,1367.529753256834,75.89112673035852,-1291.6386265264755,0.5276460261120554
Badajoz,2021-10-01,941.9399951068186,71.9125570493516,-870.0274380574671,-0.9009036012041807
Badajoz,2021-11-01,520.1840893096078,25.091297085537,-495.09279222407076,-1.6669954696969054
Badajoz,2021-12-01,353.2202414573216,67.49000975615648,-285.7302317011651,-0.7352669758140372
Badajoz,2022-01-01,447.6421031011284,5.512104581164876,-442.1299985199635,-2.686566294707896
Badajoz,2022-02-01,544.9077363602586,17.746007678064952,-527.1617286821936,-1.470661402597521
Badajoz,2022-03-01,705.1178441008472,132.17235775795658,-572.9454863428906,1.3670144018863144
Badajoz,2022-04-01,1056.0187632334855,62.52081867141081,-993.4979445620747,0.591048180664606
Badajoz,2022-05-01,1815.5313359893407,4.868551648730032,-1810.6627843406106,-1.7246485672706662
Badajoz,2022-06-01,2040.4380906929885,5.109184379275865,-2035.3289063137127,-0.5286483465699378
Badajoz,2022-07-01,2459.290944897345,0.1557088617918101,-2459.135236035553,-2.546787696091669
Badajoz,2022-08-01,2163.8535036079666,1.5460698999918436,-2162.3074337079747,-1.6680177761022073
Badajoz,2022-09-01,1406.4280747750486,29.957562229478054,-1376.4705125455705,-0.45463638898567693
Badajoz,2022-10-01,1044.7640641187888,36.98638668813221,-1007.7776774306566,-1.974853770370161
Badajoz,2022-11-01,522.4474330434674,52.996272725350565,-469.4511603181169,-1.2934724036264125
Badajoz,2022-12-01,328.9521616078628,175.38356193347067,-153.56859967439215,1.2957051300511395
Badajoz,2023-01-01,383.2176468633802,26.892945060454917,-356.3247018029253,-1.2663871434144487
Badajoz,2023-02-01,556.6519981997925,14.42105215466074,-542.2309460451318,-1.7019535542449096
Badajoz,2023-03-01,868.9510228861907,18.518393224455004,-850.4326296617356,-0.8603356048279936
Badajoz,2023-04-01,1552.2152274573866,5.6614190828004665,-1546.5538083745862,-7.329639536373922
Badajoz,2023-05-01,1707.7051647219785,45.99105635313055,-1661.714108368848,-0.8165184857396306
Badajoz,2023-06-01,1856.7491097129623,33.73055187224568,-1823.0185578407165,1.2923635743280555
Badajoz,2023-07-01,2380.994804771152,0.1819810132508539,-2380.812823757901,-1.6880436900809253
Badajoz,2023-08-01,2276.4836365393708,0.0710296520706913,-2276.4126068873,-2.7236319467455354
Badajoz,2023-09-01,1312.482147441802,47.83620228771292,-1264.645945154089,0.8092024819781124
Badajoz,2023-10-01,1005.3300782606848,130.0505507848721,-875.2795274758128,-0.9481743323444033
Badajoz,2023-11-01,474.3381127425066,43.09901441676001,-431.23909832574657,-0.6943562919792036
Badajoz,2023-12-01,292.2868793287279,35.26593530731892,-257.020944021409,-0.09024098733899553
Barcelona,2000-01-01,222.02809084768933,21.957115073197325,-200.070975774492,1.0808373476603788
Barcelona,2000-02-01,417.5996810077551,9.67030686728457,-407.92937414047054,-1.111639267281606
Barcelona,2000-03-01,713.7268628902972,52.70839063529908,-661.0184722549981,-0.37077195378402383
Barcelona,2000-04-01,865.2958734447092,66.26950775916086,-799.0263656855483,0.646046319126718
Barcelona,2000-05-01,1203.8077095217557,48.70238511803526,-1155.1053244037205,0.27295465239343913
Barcelona,2000-06-01,1515.5821201591714,81.5775549895432,-1434.0045651696282,0.6923721165154266
Barcelona,2000-07-01,1656.7900510224836,26.78420011880834,-1630.0058509036753,0.7694667975545627
Barcelona,2000-08-01,1540.1723209127078,26.00089513129949,-1514.1714257814083,0.21943344289175795
Barcelona,2000-09-01,1038.5752276481642,59.10986516067605,-979.4653624874882,0.2270304485650316
Barcelona,2000-10-01,599.116399619162,97.64515367776896,-501.4712459413931,1.445541196349453
Barcelona,2000-11-01,356.9292602146685,49.33805040402971,-307.59120981063876,0.42209379418647636
Barcelona,2000-12-01,274.1106138159447,58.755580329896524,-215.35503348604817,0.35791299083773065
Barcelona,2001-01-01,302.9241010033608,58.03150048418463,-244.8926005191762,0.1635284466194291
Barcelona,2001-02-01,404.65123243304816,27.23288875145457,-377.41834368159357,-0.5661000426389283
Barcelona,2001-03-01,728.846574495268,34.44712622165078,-694.3994482736172,-0.9267653901294959
Barcelona,2001-04-01,929.8460374164886,36.3921732974196,-893.453864119069,-0.3639145446243454
Barcelona,2001-05-01,1213.4924442780768,52.25167837118654,-1161.2407659068904,0.22136757329382525
Barcelona,2001-06-01,1641.478756906752,21.59140511201348,-1619.8873517947386,-0.797555241038164
Barcelona,2001-07-01,1636.6346155411063,88.7762334502429,-1547.8583820908634,1.5054484436880042
Barcelona,2001-08-01,1585.1366784118736,41.020514781872784,-1544.1161636300008,-0.1528729642770162
Barcelona,2001-09-01,987.5543792264436,67.89968019399933,-919.6546990324443,1.0167627128254366
Barcelona,2001-10-01,642.358793037506,31.285978175071406,-611.0728148624346,-0.23415399078920562
Barcelona,2001-11-01,355.1212821535232,71.94197107912146,-283.17931107440177,0.49061493249204335
Barcelona,2001-12-01,196.49582136434267,14.045903960549122,-182.44991740379356,0.8051104281011765
Barcelona,2002-01-01,210.9924646219697,26.490637740363088,-184.5018268816066,1.3342035092139277
Barcelona,2002-02-01,388.3921407471906,28.18192323028473,-360.21021751690586,-0.24640803432945332
Barcelona,2002-03-01,684.41522699716,61.63383433560912,-622.7813926615509,0.2165635703548519
Barcelona,2002-04-01,925.3479375361104,105.62837403468228,-819.7195635014282,0.4376338293111969
Barcelona,2002-05-01,1128.9098195903548,159.2989250286848,-969.61089456167,1.5786601939313316
Barcelona,2002-06-01,1539.1568432787844,63.645617518533285,-1475.5112257602511,0.42755175280210905
